activity_id,deal_id,rep_name,activity_type,activity_date,duration_min,outcome
ACT-000001,DL-10000,Alice Morgan,Demo,2023-07-21,60,Neutral
ACT-000002,DL-10000,Alice Morgan,Call,2023-10-11,45,Neutral
ACT-000003,DL-10000,Alice Morgan,Call,2023-07-24,60,Neutral
ACT-000004,DL-10000,Alice Morgan,Meeting,2023-07-22,60,Positive
ACT-000005,DL-10000,Alice Morgan,Follow-up,2023-07-19,60,Neutral
ACT-000006,DL-10000,Alice Morgan,Demo,2023-07-10,60,Neutral
ACT-000007,DL-10000,Alice Morgan,Follow-up,2023-07-31,45,Positive
ACT-000008,DL-10001,Brian Chen,Demo,2022-10-26,30,Positive
ACT-000009,DL-10001,Brian Chen,Demo,2022-10-09,60,Neutral
ACT-000010,DL-10002,Carlos Rivera,Proposal Sent,2023-05-26,30,Negative
ACT-000011,DL-10002,Carlos Rivera,Meeting,2023-03-16,60,Positive
ACT-000012,DL-10002,Carlos Rivera,Email,2023-05-21,30,Neutral
ACT-000013,DL-10002,Carlos Rivera,Demo,2023-06-25,60,Neutral
ACT-000014,DL-10002,Carlos Rivera,Follow-up,2023-06-20,30,Positive
ACT-000015,DL-10002,Carlos Rivera,Demo,2023-06-16,90,Positive
ACT-000016,DL-10002,Carlos Rivera,Email,2023-05-26,45,Neutral
ACT-000017,DL-10002,Carlos Rivera,Email,2023-05-12,30,Positive
ACT-000018,DL-10002,Carlos Rivera,Meeting,2023-05-02,60,Positive
ACT-000019,DL-10002,Carlos Rivera,Meeting,2023-06-18,30,Positive
ACT-000020,DL-10002,Carlos Rivera,Email,2023-04-27,30,Positive
ACT-000021,DL-10002,Carlos Rivera,Proposal Sent,2023-03-22,30,Positive
ACT-000022,DL-10002,Carlos Rivera,Proposal Sent,2023-05-26,60,Positive
ACT-000023,DL-10002,Carlos Rivera,Meeting,2023-04-16,45,Positive
ACT-000024,DL-10002,Carlos Rivera,Follow-up,2023-05-24,90,Neutral
ACT-000025,DL-10002,Carlos Rivera,Email,2023-03-09,15,Positive
ACT-000026,DL-10002,Carlos Rivera,Follow-up,2023-05-23,60,Positive
ACT-000027,DL-10002,Carlos Rivera,Follow-up,2023-06-23,30,Neutral
ACT-000028,DL-10002,Carlos Rivera,Email,2023-03-20,45,Neutral
ACT-000029,DL-10002,Carlos Rivera,Follow-up,2023-04-16,45,Positive
ACT-000030,DL-10002,Carlos Rivera,Demo,2023-05-14,30,Neutral
